Layer,Disputed_Amount,Primary_Amount,Txn_Day,Txn_Month,Txn_Hour,Txn_DayOfWeek,Txn_IsWeekend,Is_Disputed,Dispute_Ratio,Is_Full_Dispute,Sheet_Money Transfer to,Sheet_Other,Sheet_Others Less Then 500,Sheet_Transaction put on hold,Sheet_Withdrawal through ATM,Action_By_Bank_Code,Is_HighValue,Is_DeepChain,Amount_Gap,Txn_IsNight,Is_HoldTxn,Is_MoneyTransfer,is_fraud
5,760.0,760.0,27,12,5,5,1,1,1.0,1,1,0,0,0,0,6,0,1,0.0,1,0,1,1
7,4061.46,5600.0,29,12,0,0,0,1,0.7253,0,1,0,0,0,0,101,0,1,1538.54,1,0,1,1
5,2000.0,2000.0,25,1,21,6,1,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
5,500.0,500.0,22,1,11,3,0,1,1.0,1,1,0,0,0,0,29,0,1,0.0,0,0,1,1
5,861.27,1000.0,4,2,23,2,0,1,0.8613,0,1,0,0,0,0,101,0,1,138.73000000000002,1,0,1,1
6,200.0,200.0,29,1,12,3,0,1,1.0,1,1,0,0,0,0,10,0,1,0.0,0,0,1,0
4,818.4,738.0,25,2,10,2,0,1,1.1089,0,0,0,0,1,0,41,0,1,0.0,0,1,0,0
5,2000.0,2128.0,20,1,0,1,0,1,0.9398,0,1,0,0,0,0,56,0,1,128.0,1,0,1,1
4,818.4,100.0,23,3,0,0,0,1,8.184,0,0,0,0,1,0,9,0,1,0.0,1,1,0,1
4,205.51,1060.0,29,12,12,0,0,1,0.1939,0,1,0,0,0,0,1,0,1,854.49,0,0,1,1
4,818.4,0.11,2,3,11,0,0,1,1278.75,0,0,0,0,1,0,95,0,1,0.0,0,1,0,0
6,45.0,45.0,22,1,18,3,0,1,1.0,1,1,0,0,0,0,10,0,1,0.0,0,0,1,1
5,9628.43,20500.0,5,1,12,0,0,1,0.4697,0,1,0,0,0,0,36,1,1,10871.57,0,0,1,1
5,9628.43,20500.0,5,1,12,0,0,1,0.4697,0,1,0,0,0,0,36,1,1,10871.57,0,0,1,1
5,700.0,700.0,27,12,18,5,1,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
4,1000.0,1000.0,4,2,21,2,0,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
6,2000.0,2000.0,10,1,9,5,1,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
3,118.0,118.0,26,1,0,0,0,1,1.0,1,1,0,0,0,0,44,0,1,0.0,1,0,1,0
5,500.0,500.0,31,12,12,2,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
4,998.68,998.68,26,1,12,0,0,1,1.0,1,1,0,0,0,0,56,0,1,0.0,0,0,1,0
4,818.4,1000.0,25,2,9,2,0,1,0.8184,0,0,0,0,1,0,95,0,1,181.60000000000002,0,1,0,0
4,818.4,14.96,27,12,14,5,1,1,54.7059,0,0,0,0,1,0,78,0,1,0.0,0,1,0,0
3,650.0,650.0,27,12,14,5,1,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
5,1000.0,1000.0,15,1,7,3,0,1,1.0,1,1,0,0,0,0,37,0,1,0.0,0,0,1,0
4,1000.0,1000.0,2,1,12,4,0,1,1.0,1,1,0,0,0,0,70,0,1,0.0,0,0,1,1
5,611.57,8500.0,27,12,10,5,1,1,0.0719,0,1,0,0,0,0,43,0,1,7888.43,0,0,1,0
6,3600.0,4450.0,5,1,17,0,0,1,0.809,0,1,0,0,0,0,1,0,1,850.0,0,0,1,1
3,5000.0,5000.0,20,1,0,1,0,1,1.0,1,1,0,0,0,0,5,0,1,0.0,1,0,1,0
7,1090.0,1090.0,31,12,17,2,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
5,500.0,1960.0,27,12,21,5,1,1,0.2551,0,1,0,0,0,0,50,0,1,1460.0,0,0,1,0
5,1000.0,1000.0,1,2,8,6,1,1,1.0,1,1,0,0,0,0,72,0,1,0.0,0,0,1,1
3,798.0,798.0,27,12,14,5,1,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
5,510.0,800.0,29,12,19,0,0,1,0.6375,0,1,0,0,0,0,75,0,1,290.0,0,0,1,1
5,800.0,800.0,26,1,11,0,0,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,0
5,2300.0,2300.0,5,1,18,0,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
3,4000.0,4000.0,21,1,0,2,0,1,1.0,1,1,0,0,0,0,16,0,1,0.0,1,0,1,0
4,5.99,600.0,28,1,23,2,0,1,0.01,0,1,0,0,0,0,70,0,1,594.01,1,0,1,0
7,385.58,800.0,25,1,10,6,1,1,0.482,0,1,0,0,0,0,56,0,1,414.42,0,0,1,0
4,5000.0,5000.0,2,1,18,4,0,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,0
4,818.4,578.1,4,1,23,6,1,1,1.4157,0,0,0,0,1,0,78,0,1,0.0,1,1,0,0
4,3965.0,4999.69,5,1,11,0,0,1,0.793,0,1,0,0,0,0,95,0,1,1034.6899999999996,0,0,1,0
4,818.4,1999.86,2,1,18,4,0,1,0.4092,0,0,0,0,1,0,29,0,1,1181.46,0,1,0,0
5,226.49,500.0,5,1,16,0,0,1,0.453,0,1,0,0,0,0,44,0,1,273.51,0,0,1,1
